timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788187081.676,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187083.676,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187085.677,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187087.680,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187089.680,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187091.683,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187093.685,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187095.695,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187097.690,1,10.0.0.11,2,1,0.40,2,1.40,147.80,369.5,0.000,2.50
1788187097.692,2,10.0.0.11,2,1,0.40,0,0.00,0.00,0.0,0.000,0.00
1788187097.692,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187099.691,1,10.0.0.11,3,1,0.60,3,2.20,221.40,369.0,0.000,0.50
1788187099.693,2,10.0.0.11,3,1,0.60,0,0.00,0.00,0.0,0.000,0.00
1788187099.693,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187101.695,2,10.0.0.11,4,1,0.80,0,0.00,0.00,0.0,0.000,0.50
1788187101.695,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.50
1788187101.695,1,10.0.0.11,4,1,0.80,4,3.40,321.60,402.0,0.000,0.00
1788187103.695,1,10.0.0.11,4,1,1.00,7,5.60,597.00,426.4,0.000,1.50
1788187103.697,2,10.0.0.11,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788187103.697,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187105.699,1,10.0.0.11,3,1,1.20,9,7.20,753.00,418.3,0.111,1.00
1788187105.701,2,10.0.0.11,3,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788187105.701,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187107.701,1,10.0.0.11,4,1,1.60,10,8.20,861.40,430.7,0.000,5.50
1788187107.701,1,10.0.0.12,3,1,0.60,3,2.80,358.80,598.0,0.000,5.50
1788187107.704,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187107.704,2,10.0.0.12,3,1,0.60,0,0.00,0.00,0.0,0.000,0.00
1788187107.704,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187109.704,1,10.0.0.11,4,1,1.80,13,11.20,1116.80,429.5,0.000,2.00
1788187109.704,1,10.0.0.12,4,1,0.80,4,3.60,419.80,524.8,0.000,2.00
1788187109.708,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788187109.708,2,10.0.0.12,4,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788187109.708,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187111.717,1,10.0.0.11,5,1,2.00,16,14.60,1433.00,447.8,0.000,4.50
1788187111.717,1,10.0.0.12,4,1,1.40,8,6.60,729.00,455.6,0.000,4.50
1788187111.720,2,10.0.0.11,5,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788187111.720,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187111.720,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187113.725,1,10.0.0.11,5,1,1.80,16,14.00,1315.40,411.1,0.062,6.50
1788187113.725,1,10.0.0.13,1,1,0.80,1,18.00,3852.00,19260.0,0.000,6.50
1788187113.725,1,10.0.0.12,5,1,1.20,10,8.60,901.40,450.7,0.000,6.50
1788187113.733,2,10.0.0.11,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788187113.733,2,10.0.0.13,1,1,0.80,1,18.00,3852.00,19260.0,0.000,0.00
1788187113.733,2,10.0.0.12,5,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788187113.733,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187115.716,1,10.0.0.11,5,1,2.60,21,19.00,1799.40,428.4,0.000,6.50
1788187115.716,1,10.0.0.13,1,1,0.80,1,38.00,8132.00,40660.0,0.000,6.50
1788187115.716,1,10.0.0.12,5,1,2.20,16,14.40,1492.40,466.4,0.000,6.50
1788187115.717,2,10.0.0.11,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187115.717,2,10.0.0.13,1,1,0.80,1,38.20,8174.80,40874.0,0.000,0.00
1788187115.717,2,10.0.0.12,5,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788187115.717,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187117.715,1,10.0.0.11,5,1,2.60,23,20.80,2018.60,438.8,0.000,2.50
1788187117.715,1,10.0.0.13,0,0,0.00,1,54.60,11684.40,58422.0,0.000,2.50
1788187117.715,1,10.0.0.12,5,1,1.60,14,12.80,1232.40,440.1,0.000,2.50
1788187117.717,2,10.0.0.11,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187117.717,2,10.0.0.13,0,0,0.00,1,54.60,11684.40,58422.0,0.000,0.00
1788187117.717,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187117.717,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187119.715,1,10.0.0.11,5,1,2.00,21,19.60,1903.60,453.2,0.000,1.50
1788187119.715,1,10.0.0.13,0,0,0.00,1,73.40,15707.60,78538.0,0.000,1.50
1788187119.715,1,10.0.0.12,3,1,0.80,14,12.40,1232.60,440.2,0.000,1.50
1788187119.720,2,10.0.0.11,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788187119.720,2,10.0.0.13,0,0,0.00,1,73.40,15707.60,78538.0,0.000,0.00
1788187119.720,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788187119.720,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187121.718,1,10.0.0.11,4,1,1.60,18,16.40,1686.60,468.5,0.000,3.00
1788187121.718,1,10.0.0.13,0,0,0.00,1,94.60,20244.40,101222.0,0.000,3.00
1788187121.718,1,10.0.0.12,4,1,1.20,14,12.80,1305.80,466.4,0.000,3.00
1788187121.719,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187121.719,2,10.0.0.13,0,0,0.00,1,94.60,20244.40,101222.0,0.000,0.00
1788187121.719,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788187121.719,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187123.720,1,10.0.0.11,5,1,1.40,19,16.60,1691.00,445.0,0.000,3.00
1788187123.720,1,10.0.0.13,0,0,0.00,1,114.80,24567.20,122836.0,0.000,3.00
1788187123.720,1,10.0.0.12,4,1,1.60,15,15.20,1524.80,508.3,0.000,3.00
1788187123.722,2,10.0.0.11,5,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187123.722,2,10.0.0.13,0,0,0.00,1,114.80,24567.20,122836.0,0.000,0.00
1788187123.722,2,10.0.0.12,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187123.722,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187125.721,1,10.0.0.11,2,1,0.60,12,11.00,1127.20,469.7,0.000,1.50
1788187125.721,1,10.0.0.13,0,0,0.00,1,134.00,28676.00,143380.0,0.000,1.50
1788187125.721,1,10.0.0.12,4,1,1.80,13,12.60,1358.60,522.5,0.000,1.50
1788187125.724,2,10.0.0.11,2,1,0.60,0,0.00,0.00,0.0,0.000,0.00
1788187125.724,2,10.0.0.13,0,0,0.00,1,134.20,28718.80,143594.0,0.000,0.00
1788187125.724,2,10.0.0.12,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788187125.724,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187127.722,1,10.0.0.11,4,1,1.00,10,9.20,929.20,464.6,0.000,3.00
1788187127.722,1,10.0.0.13,0,0,0.00,1,152.40,32613.60,163068.0,0.000,3.00
1788187127.722,1,10.0.0.12,5,1,1.40,14,13.60,1495.60,534.1,0.000,3.00
1788187127.725,2,10.0.0.11,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788187127.725,2,10.0.0.13,0,0,0.00,1,152.40,32613.60,163068.0,0.000,0.00
1788187127.725,2,10.0.0.12,5,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187127.725,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187129.723,1,10.0.0.11,4,1,1.40,12,11.00,1203.80,501.6,0.000,3.00
1788187129.723,1,10.0.0.13,0,0,0.00,1,171.80,36765.20,183826.0,0.000,3.00
1788187129.723,1,10.0.0.12,5,1,1.40,15,14.20,1519.40,506.5,0.000,3.00
1788187129.726,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187129.726,2,10.0.0.13,0,0,0.00,1,171.80,36765.20,183826.0,0.000,0.00
1788187129.726,2,10.0.0.12,5,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187129.726,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187131.724,1,10.0.0.11,5,1,2.40,16,14.40,1441.60,450.5,0.000,3.50
1788187131.724,1,10.0.0.13,0,0,0.00,1,191.40,40959.60,204798.0,0.000,3.50
1788187131.724,1,10.0.0.12,4,1,1.00,13,12.20,1300.40,500.2,0.000,3.50
1788187131.727,2,10.0.0.11,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788187131.727,2,10.0.0.13,0,0,0.00,1,191.40,40959.60,204798.0,0.000,0.00
1788187131.727,2,10.0.0.12,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788187131.727,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187133.729,1,10.0.0.11,4,1,2.60,18,16.20,1699.60,472.1,0.000,2.50
1788187133.729,1,10.0.0.13,0,0,0.00,1,211.20,45196.80,225984.0,0.000,2.50
1788187133.729,1,10.0.0.12,3,1,0.80,11,9.80,1071.20,486.9,0.000,2.50
1788187133.731,2,10.0.0.11,4,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187133.731,2,10.0.0.13,0,0,0.00,1,211.20,45196.80,225984.0,0.000,0.00
1788187133.731,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788187133.731,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187135.764,1,10.0.0.11,4,1,1.80,19,17.80,1899.60,499.9,0.000,2.00
1788187135.764,1,10.0.0.13,0,0,0.00,1,229.80,49177.20,245886.0,0.000,2.00
1788187135.764,1,10.0.0.12,2,1,0.80,11,9.80,1093.00,496.8,0.000,2.00
1788187135.772,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,0.50
1788187135.772,2,10.0.0.13,0,0,0.00,1,229.80,49177.20,245886.0,0.000,0.50
1788187135.772,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.50
1788187135.772,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.50
1788187137.752,1,10.0.0.11,5,1,2.60,24,21.60,2214.20,461.3,0.000,6.00
1788187137.752,1,10.0.0.13,0,0,0.00,1,251.00,53714.00,268570.0,0.000,6.00
1788187137.752,1,10.0.0.12,3,1,1.00,9,7.80,849.40,471.9,0.000,6.00
1788187137.760,2,10.0.0.11,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187137.760,2,10.0.0.13,0,0,0.00,1,251.00,53714.00,268570.0,0.000,0.00
1788187137.760,2,10.0.0.12,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788187137.760,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187139.742,1,10.0.0.11,5,1,2.80,24,21.40,2155.00,449.0,0.000,3.00
1788187139.742,1,10.0.0.13,0,0,0.00,1,269.20,57608.80,288044.0,0.000,3.00
1788187139.742,1,10.0.0.12,3,1,1.20,10,9.20,980.40,490.2,0.000,3.00
1788187139.748,2,10.0.0.11,5,1,2.80,0,0.00,0.00,0.0,0.000,0.00
1788187139.748,2,10.0.0.13,0,0,0.00,1,269.20,57608.80,288044.0,0.000,0.00
1788187139.748,2,10.0.0.12,3,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788187139.748,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187141.741,1,10.0.0.11,5,1,2.60,22,20.20,2083.60,473.5,0.000,3.00
1788187141.741,1,10.0.0.13,0,0,0.00,1,288.40,61717.60,308588.0,0.000,3.00
1788187141.741,1,10.0.0.12,4,1,1.00,11,10.00,1053.20,478.7,0.000,3.00
1788187141.744,2,10.0.0.11,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187141.744,2,10.0.0.13,0,0,0.00,1,288.40,61717.60,308588.0,0.000,0.00
1788187141.744,2,10.0.0.12,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788187141.744,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187143.752,1,10.0.0.11,5,1,2.60,24,23.00,2425.00,505.2,0.000,5.00
1788187143.752,1,10.0.0.13,0,0,0.00,1,310.40,66425.60,332128.0,0.000,5.00
1788187143.752,1,10.0.0.12,4,1,1.40,13,11.40,1262.00,485.4,0.000,5.00
1788187143.766,2,10.0.0.11,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187143.766,2,10.0.0.13,0,0,0.00,1,310.40,66425.60,332128.0,0.000,0.00
1788187143.766,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187143.766,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187145.755,1,10.0.0.11,4,1,2.20,25,23.20,2393.20,478.6,0.000,1.50
1788187145.755,1,10.0.0.13,0,0,0.00,1,328.80,70363.20,351816.0,0.000,1.50
1788187145.755,1,10.0.0.12,4,1,1.20,11,10.00,1050.40,477.5,0.000,1.50
1788187145.766,2,10.0.0.11,4,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788187145.766,2,10.0.0.13,0,0,0.00,1,328.80,70363.20,351816.0,0.000,0.00
1788187145.766,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788187145.766,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187147.746,1,10.0.0.11,4,1,2.40,26,24.00,2496.60,480.1,0.000,3.50
1788187147.746,1,10.0.0.13,0,0,0.00,1,345.20,73872.80,369364.0,0.000,3.50
1788187147.746,1,10.0.0.12,2,1,0.80,10,9.60,965.80,482.9,0.000,3.50
1788187147.749,2,10.0.0.11,4,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788187147.749,2,10.0.0.13,0,0,0.00,1,345.20,73872.80,369364.0,0.000,0.00
1788187147.749,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788187147.749,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187149.749,2,10.0.0.11,5,1,2.20,0,0.00,0.00,0.0,0.000,3.50
1788187149.749,2,10.0.0.13,0,0,0.00,1,368.60,78880.40,394402.0,0.000,3.50
1788187149.749,2,10.0.0.12,2,1,0.60,0,0.00,0.00,0.0,0.000,3.50
1788187149.749,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,3.50
1788187149.750,1,10.0.0.11,5,1,2.20,24,22.00,2314.00,482.1,0.042,0.00
1788187149.750,1,10.0.0.13,0,0,0.00,1,368.60,78880.40,394402.0,0.000,0.00
1788187149.750,1,10.0.0.12,2,1,0.60,9,8.20,907.60,504.2,0.000,0.00
1788187151.752,1,10.0.0.11,4,1,1.40,22,20.60,2187.20,497.1,0.000,3.00
1788187151.752,1,10.0.0.13,0,0,0.00,1,385.80,82561.20,412806.0,0.000,3.00
1788187151.752,1,10.0.0.12,4,1,1.60,12,10.60,1160.40,483.5,0.000,3.00
1788187151.757,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187151.757,2,10.0.0.13,0,0,0.00,1,385.80,82561.20,412806.0,0.000,0.00
1788187151.757,2,10.0.0.12,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187151.757,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187153.766,1,10.0.0.11,4,1,1.60,18,16.40,1600.00,444.4,0.056,2.50
1788187153.766,1,10.0.0.13,0,0,0.00,1,405.60,86798.40,433992.0,0.000,2.50
1788187153.766,1,10.0.0.12,5,1,1.60,11,10.20,1067.00,485.0,0.000,2.50
1788187153.774,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187153.774,2,10.0.0.13,0,0,0.00,1,405.60,86798.40,433992.0,0.000,0.00
1788187153.774,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187153.774,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187155.753,1,10.0.0.11,3,1,1.00,17,16.00,1593.40,468.6,0.000,3.00
1788187155.753,1,10.0.0.13,0,0,0.00,1,425.60,91078.40,455392.0,0.000,3.00
1788187155.753,1,10.0.0.12,5,1,1.60,14,12.80,1258.20,449.4,0.000,3.00
1788187155.757,2,10.0.0.11,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00
1788187155.757,2,10.0.0.13,0,0,0.00,1,425.60,91078.40,455392.0,0.000,0.00
1788187155.757,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187155.757,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187157.755,1,10.0.0.11,3,1,1.40,14,12.60,1391.20,496.9,0.000,3.00
1788187157.755,1,10.0.0.13,0,0,0.00,1,443.20,94844.80,474224.0,0.000,3.00
1788187157.755,1,10.0.0.12,4,1,1.40,16,14.20,1369.60,428.0,0.000,3.00
1788187157.757,2,10.0.0.11,3,1,1.40,0,0.00,0.00,0.0,0.000,0.00
