timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788190133.796,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190135.798,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190137.800,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190139.801,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190141.802,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190143.804,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190145.813,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190147.811,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190149.813,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190151.814,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190153.815,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190155.817,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190157.820,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190159.827,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190161.827,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190163.827,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190165.829,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190167.858,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190169.838,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190171.841,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190173.843,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
