timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s,redirected
1788273384.328,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788273386.329,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788273388.330,1,10.0.0.13,1,1,0.40,1,1.80,2721.60,13608.0,0.000,8.50,0
1788273388.330,1,10.0.0.11,3,1,0.60,3,23.40,83464.40,139107.3,0.333,8.50,0
1788273388.330,1,10.0.0.12,2,1,0.40,2,30.60,83939.60,209849.0,0.000,8.50,0
1788273388.331,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788273388.331,2,10.0.0.13,1,1,0.40,1,1.80,2721.60,13608.0,0.000,0.00,0
1788273388.331,2,10.0.0.11,3,1,0.60,0,0.00,0.00,0.0,0.000,0.00,0
1788273388.331,2,10.0.0.12,2,1,0.40,0,0.00,0.00,0.0,0.000,0.00,0
1788273390.341,1,10.0.0.13,1,1,0.40,1,3.80,5745.60,28728.0,0.000,1.00,0
1788273390.341,1,10.0.0.11,3,1,0.80,4,30.20,124873.20,156091.5,0.250,1.00,0
1788273390.341,1,10.0.0.12,2,1,0.60,3,38.00,125388.00,208980.0,0.000,1.00,0
1788273390.344,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788273390.344,2,10.0.0.13,1,1,0.40,1,3.80,5745.60,28728.0,0.000,0.00,0
1788273390.344,2,10.0.0.11,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788273390.344,2,10.0.0.12,2,1,0.60,0,0.00,0.00,0.0,0.000,0.00,0
1788273392.337,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,3.50,0
1788273392.337,2,10.0.0.13,0,0,0.00,1,6.00,9072.00,45360.0,0.000,3.50,0
1788273392.337,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,3.50,0
1788273392.337,2,10.0.0.12,5,1,1.00,0,0.00,0.00,0.0,0.000,3.50,0
1788273392.338,1,10.0.0.13,0,0,0.00,1,6.00,9072.00,45360.0,0.000,0.00,0
1788273392.338,1,10.0.0.11,4,1,1.40,8,82.80,333144.80,208215.5,0.000,0.00,0
1788273392.338,1,10.0.0.12,5,1,1.00,6,77.60,250881.60,209068.0,0.000,0.00,0
1788273394.342,1,10.0.0.13,0,0,0.00,1,8.00,12096.00,60480.0,0.000,2.50,0
1788273394.342,1,10.0.0.11,3,1,1.60,11,105.80,416582.80,189355.8,0.091,2.50,0
1788273394.342,1,10.0.0.12,3,1,1.00,8,88.20,308191.60,192619.8,0.000,2.50,0
