timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s,redirected
1788270665.091,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270667.089,1,10.0.0.12,1,1,0.20,1,5.00,12215.60,61078.0,0.000,7.00,0
1788270667.089,1,10.0.0.11,1,1,0.20,1,6.80,17547.20,87736.0,0.000,7.00,0
1788270667.089,1,10.0.0.13,1,1,0.40,1,0.40,604.80,3024.0,0.000,7.00,0
1788270667.091,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270667.091,2,10.0.0.12,1,1,0.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270667.091,2,10.0.0.11,1,1,0.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270667.091,2,10.0.0.13,1,1,0.40,1,0.40,604.80,3024.0,0.000,0.00,0
1788270669.092,1,10.0.0.12,2,1,0.40,2,24.60,83543.60,208859.0,0.000,1.50,0
1788270669.092,1,10.0.0.11,2,1,0.60,3,22.80,83424.80,139041.3,0.333,1.50,0
1788270669.092,1,10.0.0.13,1,1,0.40,1,2.20,3326.40,16632.0,0.000,1.50,0
1788270669.094,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270669.094,2,10.0.0.12,2,1,0.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270669.094,2,10.0.0.11,2,1,0.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270669.094,2,10.0.0.13,1,1,0.40,1,2.20,3326.40,16632.0,0.000,0.00,0
1788270671.109,1,10.0.0.12,5,1,1.20,6,49.80,208086.80,173405.7,0.167,3.50,0
1788270671.109,1,10.0.0.11,4,1,1.20,6,69.80,250366.80,208639.0,0.000,3.50,0
1788270671.109,1,10.0.0.13,1,1,0.40,1,4.80,7257.60,36288.0,0.000,3.50,0
1788270671.114,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.50,0
1788270671.114,2,10.0.0.12,5,1,1.20,0,0.00,0.00,0.0,0.000,0.50,0
1788270671.114,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.50,0
1788270671.114,2,10.0.0.13,1,1,0.40,1,4.80,7257.60,36288.0,0.000,0.50,0
1788270673.101,1,10.0.0.12,4,1,1.20,7,74.80,291656.80,208326.3,0.000,1.50,0
1788270673.101,1,10.0.0.11,4,1,1.40,9,93.40,333844.40,185469.1,0.111,1.50,0
1788270673.101,1,10.0.0.13,0,0,0.00,1,6.80,10281.60,51408.0,0.000,1.50,0
1788270673.105,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270673.105,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00,0
1788270673.105,2,10.0.0.13,0,0,0.00,1,6.80,10281.60,51408.0,0.000,0.00,0
1788270673.105,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270675.104,1,10.0.0.12,2,1,1.20,10,101.00,416266.00,208133.0,0.000,3.00,0
1788270675.104,1,10.0.0.11,4,1,1.40,12,119.40,458440.40,191016.8,0.083,3.00,0
1788270675.104,1,10.0.0.13,0,0,0.00,1,9.00,13608.00,68040.0,0.000,3.00,0
1788270675.109,2,10.0.0.12,2,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
